policy,policy_type,frames,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,final_error_m,final_drift_per_100m,failure_rate_gt40m,failure_rate_gt80m,frames_within_20m_rate,frames_within_40m_rate,frames_within_80m_rate,first_crossing_gt10m_distance_m,first_crossing_gt20m_distance_m,first_crossing_gt40m_distance_m,first_crossing_gt80m_distance_m,events,initializations,relocalizations,true_events_eval_only,false_events_eval_only,dangerous_false_events_gt100m_eval_only,events_improving_error,events_worsening_error,median_error_improvement_m,median_true_event_improvement_m_eval_only,median_false_event_improvement_m_eval_only,maximum_false_event_worsening_m_eval_only,accepted,precision_eval_only,mean_relocalization_alpha,median_absolute_innovation_m,median_position_shift_applied_m,coverage_gap_including_boundaries_max_m,mode,uniform_alpha,balanced_alpha,temporal_alpha,maximum_fix_error_consistency_delta_m,rmse_m_delta_vs_relative,rmse_m_relative_change_fraction,mean_error_m_delta_vs_relative,mean_error_m_relative_change_fraction,median_error_m_delta_vs_relative,median_error_m_relative_change_fraction,p95_error_m_delta_vs_relative,p95_error_m_relative_change_fraction,max_error_m_delta_vs_relative,max_error_m_relative_change_fraction,final_error_m_delta_vs_relative,final_error_m_relative_change_fraction,final_drift_per_100m_delta_vs_relative,final_drift_per_100m_relative_change_fraction,failure_rate_gt40m_delta_vs_relative,failure_rate_gt40m_relative_change_fraction
hybrid_r60_uniform_a075_online,hybrid_r60_uniform_soft,1034,71.25924172945277,58.49610442739163,46.986917191415245,149.1703161363122,205.95486111608147,57.076019908133134,0.5300218839746303,0.5783365570599613,0.21953578336557059,0.09864603481624758,0.42166344294003866,0.7804642166344294,0.0,0.0,54.64278341865671,3088.1992309353213,72,1,71,50,22,0,44,28,4.8265484625612824,8.491835340223425,-7.592685393657661,41.21017953555686,72,0.6944444444444444,0.75,36.62418137393878,28.094886959623356,1397.7268029193401,uniform,0.75,0.75,0.75,0.1933313064592852,-153.4086413136934,-0.6828240834237628,-128.9498770707975,-0.6879308696838787,-128.38466096789065,-0.7320722223943679,-261.7149426849114,-0.6369538382460775,-244.93777333034916,-0.5432285972714189,-195.44357043766826,-0.7739738931542975,-1.8149368085026576,-0.7739738931542974,-0.29497098646034814,-0.3377630121816168
hybrid_r40_adaptive_b050_t025_online,hybrid_r40_adaptive_soft,1034,79.81489694930306,67.48130455749514,58.43910984336239,158.35162693850137,200.5438479073988,29.585563749125242,0.27473878280234465,0.6450676982591876,0.3365570599613153,0.05125725338491296,0.35493230174081236,0.6634429400386848,0.0,0.0,644.5280065053086,2778.0143368429294,61,1,60,45,16,0,46,15,9.642153340744464,12.41229602060497,-1.3530481043988551,11.906665299130015,61,0.7377049180327869,0.38333333333333336,51.176970506053046,17.20547588134106,2459.3095103310757,adaptive,,0.5,0.25,0.12327710872414599,-144.8529860938431,-0.6447427381777792,-119.96467694069399,-0.6399959923486167,-116.93246831594351,-0.6667697784513472,-252.5336318827223,-0.6146086442896697,-250.34878653903183,-0.5552292661564315,-222.93402659667615,-0.8828385405321993,-2.070219909674943,-0.8828385405321992,-0.22823984526112184,-0.26135105204872644
hybrid_r40_adaptive_b050_t050_online,hybrid_r40_adaptive_soft,1034,76.56493056621595,63.35054385950162,51.688759106113864,156.61295767120484,198.38079546146687,64.04846216908605,0.5947696885518027,0.6044487427466151,0.30174081237911027,0.09477756286266925,0.3955512572533849,0.6982591876208898,0.0,0.0,395.49859310760905,2932.124612854452,61,1,60,45,16,0,45,16,10.914124068491134,15.661595576638124,-1.4394154905147687,23.79431344864514,61,0.7377049180327869,0.5,47.771182252186364,24.08876339804172,2459.3095103310757,adaptive,,0.5,0.5,0.12327710872414599,-148.10295247693023,-0.6592083855995026,-124.09543763868751,-0.6620330649226874,-123.68281905319203,-0.7052614816571915,-254.27230115001882,-0.6188401644768006,-252.51183898496376,-0.5600265333563883,-188.47112817671535,-0.7463624026897169,-1.7501890039254855,-0.7463624026897168,-0.2688588007736944,-0.3078626799557032
hybrid_r40_adaptive_b050_t075_online,hybrid_r40_adaptive_soft,1034,75.97162230594127,62.320083371995004,49.23404024846775,156.21290957191863,211.03621810543282,76.0949209301451,0.7066360516590413,0.5851063829787234,0.281431334622824,0.08800773694390715,0.4148936170212766,0.718568665377176,0.0,0.0,54.64278341865671,3088.1992309353213,61,1,60,45,16,0,43,18,9.221814252875827,14.37933210226408,-1.3548156171645775,30.98281283262599,61,0.7377049180327869,0.6166666666666667,43.483036074622525,27.018102098748187,2459.3095103310757,adaptive,,0.5,0.75,0.12327710872414599,-148.6962607372049,-0.661849209255462,-125.12589812619413,-0.6675304379752891,-126.13753791083815,-0.7192587261560479,-254.67234924930503,-0.6198137893287456,-239.8564163409978,-0.5319590474913702,-176.4246694156563,-0.6986573563423717,-1.6383226408182467,-0.6986573563423717,-0.28820116054158607,-0.3300110741971207
hybrid_r40_adaptive_b075_t025_online,hybrid_r40_adaptive_soft,1034,76.26690852288473,63.208989884812354,51.868638535995835,157.166560045462,204.55927436194025,36.47437854380341,0.338710002269022,0.6237911025145068,0.27562862669245647,0.08123791102514506,0.37620889748549324,0.7243713733075435,0.0,0.0,632.3370364741726,2790.3160705595533,61,1,60,45,16,0,43,18,5.7892652603581105,9.296234511683608,-2.6914087913722735,21.272127688956715,61,0.7377049180327869,0.5166666666666667,44.01977504193572,15.906981824063358,2459.3095103310757,adaptive,,0.75,0.25,0.12327710872414599,-148.40097452026143,-0.6605348860289117,-124.23699161337677,-0.6627882370184447,-123.50293962331006,-0.7042357770831095,-253.71869877576165,-0.617492823917917,-246.33336008449038,-0.5463237615023774,-216.045211801998,-0.8555582222596859,-2.006248690208266,-0.8555582222596858,-0.24951644100580272,-0.28571428571428575
hybrid_r40_adaptive_b075_t050_online,hybrid_r40_adaptive_soft,1034,73.48254782972889,60.11146399443106,47.70412864510639,156.49553603712656,196.2234999421387,51.583279202429765,0.4790149500344768,0.5822050290135397,0.25338491295938104,0.10251450676982592,0.41779497098646035,0.746615087040619,0.0,0.0,395.49859310760905,2944.3214434490646,61,1,60,45,16,0,42,19,5.411979730620011,11.485519879751397,-4.153809896256963,23.79431344864514,61,0.7377049180327869,0.6333333333333333,46.08932480356398,25.64652500236269,2459.3095103310757,adaptive,,0.75,0.5,0.12327710872414599,-151.18533521341726,-0.6729281157840571,-127.33451750375806,-0.679313135901973,-127.66744951419952,-0.7279825548369508,-254.3897227840971,-0.6191259416653402,-254.66913450429195,-0.5648110327128187,-200.93631114337163,-0.7957256340714342,-1.8659437424428114,-0.7957256340714343,-0.2911025145067698,-0.3333333333333333
hybrid_r40_adaptive_b075_t075_online,hybrid_r40_adaptive_soft,1034,73.10638189129487,59.66151268979023,46.64959575747643,155.9276229018326,210.50784262995745,57.15501832366045,0.5307554825874312,0.5705996131528046,0.23404255319148937,0.08994197292069632,0.42940038684719534,0.7659574468085106,0.0,0.0,54.64278341865671,3088.1992309353213,61,1,60,45,16,0,39,22,5.41131556292267,7.826412369110708,-3.860896446593962,30.98281283262599,61,0.7377049180327869,0.75,36.958639792032834,27.724090613994207,2459.3095103310757,adaptive,,0.75,0.75,0.12327710872414599,-151.5615011518513,-0.6746024358218784,-127.7844688083989,-0.6817135677546301,-128.72198240182945,-0.7339956893408327,-254.95763591939107,-0.6205081113175764,-240.38479181647318,-0.5331308907088228,-195.36457202214095,-0.7736610524142221,-1.8142032098898568,-0.7736610524142221,-0.3027079303675049,-0.3466223698781839
hybrid_r40_adaptive_b100_t025_online,hybrid_r40_adaptive_soft,1034,76.25611058389416,63.23007395078331,48.33605014518555,157.76488763812554,205.17550321121212,44.06951366501606,0.40924028508247695,0.6034816247582205,0.27079303675048355,0.04061895551257253,0.3965183752417795,0.7292069632495164,0.0,0.0,632.3370364741726,2802.618977300592,61,1,60,45,16,0,43,18,6.688343644864656,8.944433658528155,-5.121162985824153,13.18127016162024,61,0.7377049180327869,0.65,42.96672984911023,15.754529154142453,2459.3095103310757,adaptive,,1.0,0.25,0.12327710872414599,-148.411772459252,-0.6605829478116834,-124.21590754740582,-0.6626757562610422,-127.03552801412035,-0.7243792257986209,-253.12037118309811,-0.6160366324877838,-245.71713123521852,-0.5449570750626478,-208.45007668078534,-0.8254808127770717,-1.935718407394811,-0.8254808127770716,-0.26982591876208895,-0.30897009966777406
hybrid_r40_adaptive_b100_t050_online,hybrid_r40_adaptive_soft,1034,73.49585269482989,60.2462893047221,46.59635090860229,157.94262155843964,194.35926428053577,44.06951366501608,0.4092402850824771,0.5705996131528046,0.24661508704061896,0.06479690522243714,0.42940038684719534,0.753384912959381,0.0,0.0,395.49859310760905,2944.3214434490646,61,1,60,45,16,0,41,20,8.704308538996827,10.14669682452406,-7.142384688642116,23.79431344864514,61,0.7377049180327869,0.7666666666666667,43.91931057062882,26.06866390300249,2459.3095103310757,adaptive,,1.0,0.5,0.12327710872414599,-151.17203034831627,-0.6728688956368746,-127.19969219346703,-0.6785938603580887,-128.7752272507036,-0.7342993009604178,-252.94263726278402,-0.615604069098131,-256.5333701658949,-0.5689455772122908,-208.45007668078532,-0.8254808127770716,-1.9357184073948108,-0.8254808127770716,-0.3027079303675049,-0.3466223698781839
hybrid_r40_adaptive_b100_t075_online,hybrid_r40_adaptive_soft,1034,72.96851600872576,59.6389194331131,44.737349902152374,158.02268465442788,209.9856844771828,44.06951366501606,0.40924028508247695,0.5638297872340425,0.2263056092843327,0.05609284332688588,0.43617021276595747,0.7736943907156673,0.0,0.0,54.64278341865671,3088.1992309353213,61,1,60,45,16,0,39,22,6.844227028558308,9.221814252875827,-5.711428772245842,30.98281283262599,61,0.7377049180327869,0.8833333333333333,36.965454151992276,32.225047386832685,2459.3095103310757,adaptive,,1.0,0.75,0.12327710872414599,-151.6993670344204,-0.6752160788611135,-127.80706206507602,-0.6818340998487116,-130.63422825715352,-0.7448996560804546,-252.86257416679578,-0.6154092139791668,-240.90694996924785,-0.5342889450057525,-208.45007668078534,-0.8254808127770717,-1.935718407394811,-0.8254808127770716,-0.30947775628626695,-0.35437430786268
