available_event_count,anchor_end_frame,anchor_end_token,scale_m_per_px,rotation_wrapped_deg,translation_x_m,translation_y_m,prefix_inliers_r60,prefix_inlier_rate_r60,p95_prefix_residual_m,current_consensus_pass_online,stability_window_available,all_window_states_pass_online,scale_relative_span,rotation_spread_deg,scale_stability_pass_online,rotation_stability_pass_online,bootstrap_lock_pass_online
21,555,556,0.3750323143534846,1.8674092789387373,252.09058744853812,-84.57619460908029,9,0.4285714285714285,340.9826648345788,False,True,False,0.09703295461986397,0.21416109888909318,True,True,False
22,660,661,0.3373646004384462,10.090127858773627,207.52633608269517,70.445346271733,9,0.4090909090909091,255.8027086924748,False,True,False,0.10911501889005562,5.434655577098255,True,False,False
23,690,691,0.3025645648608245,5.283785142707615,70.65302847249609,38.93684363415781,9,0.391304347826087,239.8750630171955,False,True,False,0.21480543423488854,4.3434172954827375,False,True,False
24,745,746,0.2728668143656764,8.28841566786727,6.725666708585209,126.94997255220738,9,0.375,408.2474645644896,False,True,False,0.21317032317527956,2.6037745489169026,False,True,False
25,750,751,0.2532938592202696,2.393400280193532,-33.397900024985354,100.50541939510026,11,0.44,451.2699781671777,False,True,False,0.1805668664952634,2.966565445035883,False,True,False
26,755,756,0.2559248087760903,2.937140926280847,-25.04007415895365,92.10339033699132,13,0.5,434.3483582923688,False,True,False,0.07647931921493106,3.749418501921866,True,True,False
27,759,760,0.3139821176762322,-14.974709437619993,325.5861368497953,84.35540840296963,11,0.4074074074074074,620.5981344531338,False,True,False,0.23713315932985227,11.780749175717574,False,False,False
28,760,761,0.2565246480382945,7.375186406286673,-46.26913243172385,137.30861275482118,12,0.4285714285714285,481.9782406345444,False,True,False,0.2263225360374531,13.448201451957459,False,False,False
29,800,801,0.3149722650219299,-13.12767363968561,284.51042784275137,80.70341187277461,12,0.4137931034482758,549.667894446403,False,True,False,0.1861495088198131,14.321057115692014,False,False,False
30,805,806,0.3048002929912108,-14.088421389976475,334.08071677532166,69.085057975394,10,0.3333333333333333,594.3372340146225,False,True,False,0.1917570892404646,14.023794493514401,False,False,False
31,845,846,0.3119633802993015,-10.762236217658028,294.60921151994233,62.5997186571289,11,0.3548387096774194,511.2903201722148,False,True,False,0.032606301486283275,1.8972719928611355,True,True,False
32,900,901,0.306055797231406,-12.094996013327346,263.8864661616827,57.296575014946455,13,0.40625,490.4606339838195,False,True,False,0.023404514382306344,1.773234311414825,True,True,False
33,1005,1006,0.3238211160902866,-14.526211317549894,354.0182737028477,105.80706568459676,12,0.3636363636363636,643.9561123628987,False,True,False,0.0569468084421841,2.065128704346506,True,True,False
