token,variants,per_variant_top_n,union_top_k_eval,candidate_count,top1_error_m,top1_hit_le_threshold,oracle_topk_error_m,oracle_topk_hit_le_threshold,first_correct_rank,best_correct_error_m,token_int
176,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,142,1713.606878785646,False,195.18788742717217,False,,,176
181,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,125,26.43326356485385,True,26.43326356485385,True,1.0,26.43326356485385,181
186,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,118,688.8220228064212,False,24.116585303341022,True,4.0,24.116585303341022,186
191,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,115,684.0281076530047,False,23.223608820880912,True,34.0,23.223608820880912,191
196,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,109,29.408003084881145,True,29.408003084881145,True,1.0,29.408003084881145,196
201,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,109,819.5605922020729,False,23.67719489349913,True,2.0,23.67719489349913,201
206,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,110,817.2706479211315,False,24.20512488938083,True,2.0,24.20512488938083,206
211,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,110,807.5328667783117,False,26.97018565271046,True,10.0,26.97018565271046,211
216,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,115,1772.6590522852166,False,23.8045294338649,True,50.0,23.8045294338649,216
221,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,131,2110.4768372652848,False,372.4751454628172,False,,,221
226,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,141,866.3583299619444,False,355.40928138964125,False,,,226
231,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,144,785.2667667704079,False,413.26206400920375,False,,,231
236,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,143,1454.8874457642476,False,365.9454500380948,False,,,236
241,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,137,2328.826169995732,False,330.87387904786203,False,,,241
246,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,112,813.8614075701851,False,280.2443674368063,False,,,246
251,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,140,54.018366022810696,False,5.234032282158039,True,4.0,5.234032282158039,251
256,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,118,18.74761651796645,True,16.2475356965014,True,1.0,16.2475356965014,256
259,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,111,39.31594716899188,True,19.85008059085271,True,1.0,15.12195229954549,259
261,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,91,46.68717214122272,False,3.173043086197424,True,4.0,3.173043086197424,261
266,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,120,8.73182821171255,True,8.73182821171255,True,1.0,8.73182821171255,266
269,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,130,684.7896510216616,False,7.532041265804385,True,5.0,7.532041265804385,269
271,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,124,657.3093286720513,False,18.960849223413444,True,18.0,18.960849223413444,271
276,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,143,2650.336616009035,False,2.081395031634583,True,30.0,2.081395031634583,276
281,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,142,1524.9222337367064,False,45.22320051365482,False,62.0,10.373380214977477,281
286,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,117,2289.23928091932,False,62.08044324373353,False,,,286
288,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,124,2255.1539348938527,False,162.36170609886472,False,,,288
291,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,141,856.3120010697285,False,195.84393943339256,False,,,291
